,Gender Equality,% Undernourishment,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,%EmploymentAgriFishForest,TotalAgri,Gender Inequality,% Soldiers,Marriage Rate,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Literacy Rate,Infant Mortality,% Population Growth,% Rural Population,Suicide Rate,Gini,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,Women Schooling Years,Men Schooling Years,% Education Expenditure,% Men Employment,% Women Employment,Population
Sao Tome and Principe,,,,,,,,,,,-0.9846189497742708,-0.8128480994017292,,0.8554357653865113,,,-0.8508911832207364,-0.007210837865136228,-0.876220695108732,,,0.7018159382955311,0.6492467191230407,,-0.5461648798830377,,,,,,0.9249820907228671
Israel,,,,-0.6674047840177768,,-0.8801544173138428,0.9564354533123411,,-0.8594090798852981,-0.3303692383321778,-0.3824058789090741,-0.8706007797006313,-0.8595691884939428,0.9293821580955672,,,-0.8517557037591209,-0.6461679820744378,-0.9585561447934238,,,-0.3794764110205327,-0.6863331998739824,,-0.887516060962032,,,,0.37116783616160814,0.9411932517073522,0.9634225076345714
Eritrea,,,,,,,0.8991614213238789,,0.3142229490656836,,-0.5731966885158088,-0.8770356248844918,,0.9191464545672825,,,-0.844281622954922,0.07725998507417299,-0.879324785125981,,,-0.6403618447583956,-0.5897332504509999,,0.8663153457667548,,,,,,0.9058889689448634
Pakistan,,,,-0.8787665949576439,,-0.8774343638011639,0.9628589533197902,,-0.8378510184014802,,-0.8710663349178794,-0.8936889244059613,-0.6920561933920404,0.9480973099654911,,,-0.9180942918036655,-0.8861049164836737,-0.9402818229713708,,,-0.09048388239161789,0.21248425806825003,,0.2834344373109012,,,0.7113893737087967,,,0.9548056654747793
Lao People's Democratic Republic,,,,,,,0.9479420855669073,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,-0.6892953015255173,-0.920194517597037,0.43895022457887495,,-0.8953350126389557,0.9090792700858393,-0.05902096205946553,-0.9132419124081658,-0.4380691339848498,0.9152773333373689,,,-0.8386933344364224,0.7265244294196348,-0.8348082880985865,,,-0.5663920917523877,-0.2932451444961991,,-0.9074909682228982,,,0.7846035598318702,-0.16775101179106203,-0.17060202550812625,0.890365223133668
Thailand,,,,-0.7549031849496354,,-0.8426612450034927,0.9279678449690094,,0.43829672064410763,,-0.8556554474453834,0.8190538861162379,-0.9563053467478082,0.980630337726664,,,-0.868767038479767,-0.8986979271828202,-0.972502537387171,,-0.9266253826200488,-0.7547160333376636,-0.7705918900237303,,0.8476710565462747,,,,-0.2519078322162295,-0.5089180146332092,0.8700370371374511
Netherlands Antilles (former),,,,,,-0.0625234324037227,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,-0.6620321884585156,-0.7637372938966841,,0.8106401405721528,,0.5709435262006725,,-0.9269880223939768,-0.4546351959934985,0.08338104285370022,0.9634689228200991,,,-0.7743249282849014,-0.9249357853143038,-0.9810767180036062,,-0.8734050463388641,0.27651247343749513,-0.4425854559988195,,-0.9523403224279893,,,,,,0.9645356352438681
Gambia,,,,-0.3610787842497992,,,0.6167607966059927,,-0.30105213824727173,,,,,,,,,,,,,0.2787412634355348,0.3992358872195313,,0.38461052950053276,,,,,,0.5816341141599212
Rwanda,,,,0.4753704150786562,,,0.8703753879329624,,-0.6857817961718727,,-0.877933537506522,-0.7252090856968337,,0.853483501124997,,,-0.8536960711316308,0.2169550912088254,-0.6024624175769352,,,0.14357589233365461,0.11034114920991073,,0.982992169263803,,,,,,0.9543237287049013
Cayman Islands,,,,,,,,,,,-0.873270398217694,-0.49830044688488057,0.3498948027316608,,,,,-0.8986542052740123,,,,,,,,,,,,,0.980486026498012
Canada,,,,-0.36867112200430857,,-0.8867723765510128,0.9531094134015669,,-0.8189051262029315,,-0.6445507741441606,0.42631957764309486,-0.6990579789549607,0.9596923776250254,,,-0.8237191801791173,0.08706252940155822,-0.8923877074713095,,,0.6979312649070729,0.7392054610023294,,-0.8553383328498039,,,,-0.2653030924086667,0.8368105383172811,0.93274638756146
Estonia,,,,0.7297988496994754,-0.9530390179117235,-0.7400674960648244,0.6328444122778636,,0.20377902816607504,-0.06456290326582684,0.3401660188017886,-0.8164863964481968,-0.8623707657700003,0.9586170039171927,,,-0.9255588034100528,0.6161288776225827,0.7454028606252073,,,0.6790573376596928,0.8725028642835749,,-0.6457793511337272,,,-0.8326034131468509,-0.20373598508009655,-0.12617973821797884,-0.8295820930165245
Brunei Darussalam,,,,,,,0.8945406247551774,,,,-0.8432407368899182,0.1529833593512609,,0.8457398299019617,,,-0.46461042971012245,-0.861064630489291,-0.8362580743458287,,,,,,,,,,,,
Jamaica,,,,-0.799924266468014,,-0.9255214706013887,0.4580133065429676,,0.14013431148282,,-0.9784455470571269,0.926188205143193,0.6792831652383375,0.5753517823186154,,,-0.9692040858492601,-0.8320175850304842,-0.9608370445834252,,,0.8528161321563822,0.9470333357490299,,-0.8808831630859465,,,0.5689263176009567,,,0.9750245251651837
Mali,,,,-0.45094756583525186,,,0.9877488858114087,,-0.6669065634742865,,-0.9548890791755574,-0.9726771538006969,,0.9771522834243435,,,-0.9575406278735339,0.48662703488722403,-0.9751245955940957,,,-0.5421893576933053,-0.5549351174532285,,-0.651273378544536,,,,,,0.9805860456077726
Timor-Leste,,,,,,,,,,,-0.878220581704444,-0.7383122063069106,,0.7882486777961399,,,-0.8139779374974025,-0.13647736311415895,-0.9099716085355699,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,-0.8716228603885618,,-0.8894456185006899,-0.870220876140158,,0.9514463790677071,,,-0.9072699119871782,-0.3137720487075762,-0.9722364795260562,,,0.6719136846352515,-0.6869080532244188,,-0.8707410431701381,,,,,,0.9866576108796844
United States of America,,,,-0.7227096861152719,,-0.8366594970340738,0.918233180389354,,,,,,,,,,,,,,,,,,,,,,,,
Sudan (former),,,,,,,0.77469475424777,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,0.23659940875387295,,-0.7776962246211987,-0.7723419889266118,,0.6872628971031998,,,-0.7731481759022232,-0.7179883397580427,-0.753016449143302,,,-0.7310948312117798,0.09062885160224504,,-0.16166431797272368,,,,,,0.7467702067091064
Algeria,,,,,,,0.9506592157454369,,0.10968541022682676,,0.11574552710515562,-0.7034402147629791,,0.9008834567106099,,,-0.9177002583189854,0.18168352352889938,-0.8866316987738811,,,0.7752744440284042,0.39050677406572387,,0.9435207983688547,,,,,,0.85137086664284
Papua New Guinea,,,,,,,,,-0.5896210551613467,,-0.9480152377007935,-0.89538682910926,,0.8938076199735888,,,-0.8959407658361601,-0.6925085975924591,0.4680393085627705,,,-0.8303434949841031,-0.8053570632523684,,0.9706690869231785,,,,,,0.9055010767486332
Iceland,,,,,,-0.8981952837373501,0.7541737232072583,,-0.3044642152095323,-0.2747842679691255,-0.8353517993894087,-0.399417013236445,0.33997973140807963,0.8730942974074034,,,-0.8664201386757943,0.6191897176632836,-0.8614032874871345,,,0.3956685763767037,-0.33423828625176605,,-0.8563344260086705,,,0.7084899644492353,0.1700772704645889,0.6407462908440649,0.8955838550701646
Malawi,,,,,,,0.9790784742848518,,-0.1351673807530869,,-0.9249413217458482,-0.931719973076211,,0.9474862446818468,,,-0.8171443376716842,0.4547723206604472,-0.8118992655371807,,,0.5366329019303346,0.4883461047471261,,0.23990055851463454,,,,,,0.940581770840571
Romania,,,,,,-0.9418280209025142,0.8752644450272167,,-0.4858791934402222,-0.01135847719894946,-0.3670750907250819,0.7919764237369947,-0.9168084848729237,0.9340301489938987,,,-0.9532112069125939,-0.40330854947994976,-0.49525956936960747,,,0.7182611327811327,0.34820253182840816,,-0.38051999394785524,,,,,,-0.9467731568033455
Grenada,,,,,,,,,,,-0.7951842829557583,0.8291442848252548,,0.5968768322836632,,,-0.23292475586622002,-0.0693181250560967,-0.8370401796608784,,,,,,,,,,,,0.9679385851429791
Serbia,,,,,,,,,-0.7849978575014005,,-0.5479642534378795,0.5263914774328645,,0.8005320611773216,,,-0.5163532521201863,-0.3661562257912929,-0.699762516211114,,,0.3723242978487985,0.04565050251980532,,-0.8138974773077958,,,,,,-0.7867432642053971
Trinidad and Tobago,,,,-0.4504863845116741,,-0.9099313896031449,0.6559466402511868,,-0.29762016329731183,,-0.6087043638824755,0.7541874301856429,,0.9363482651134577,,,-0.8835791657495327,0.36615954248749905,0.7497524087609286,,,0.7702438784962573,0.11427464123018218,,0.8355409005223642,,,,,,0.8920943641453926
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,-0.7996005438996521,-0.935538275482045,,,,,,,,,,,,0.9708403015213263
Japan,,,,,,-0.6351704500821747,0.23393952116847183,,0.2071879081786428,-0.3887761302651275,-0.5281079681323104,0.5677595056008526,-0.462622610993909,0.5481054349556321,,,-0.5721475812210082,-0.6427684754065123,-0.5853653423054537,,,-0.19002790441811426,-0.20774431201494,,-0.5750022001327305,,,-0.48519732445098096,-0.5780308560987417,-0.3685382085038218,0.5724031861362863
Tajikistan,,,,,,,-0.05076131401010151,,0.2005008536522528,,-0.23944075329517106,-0.7829530735558266,-0.5239713166478035,0.8639934331669217,,,-0.8346451673277866,0.8657627950493545,0.3141645722032036,,,-0.40335622470732174,-0.10355229215520824,,-0.6389978268073415,,,,,,0.8972786067593064
Viet Nam,,,,,,,0.93869049155713,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,-0.8019522932090548,,-0.6182717900282902,-0.8661825225112536,,0.7423013975452262,,,-0.9098726903817098,0.7135810649416333,-0.8625074712542659,,,0.7512764753744252,0.8638231471774511,,0.9484342813111817,,,,,,0.8817625710233835
New Caledonia,,,,,,,,,,,-0.8998575110000437,0.142032481703261,,0.8864271711067805,,,,-0.6966355759655616,-0.9392479133019627,,,,,,0.5536391355986007,,,,,,0.9236218913374197
Uruguay,,,,0.8182929710228832,,,0.8979994535054674,,-0.8340058329335496,,-0.7753843388790791,-0.25684721293604246,0.7204979657689566,0.8396575220271747,,,-0.8663140619602299,-0.11425399564063328,-0.8184509324625131,,-0.6087070259739417,0.1476209621565481,0.633672305160906,,-0.7108178917093814,,,,0.6639196479319353,0.9354364041087498,0.817537682639436
Saudi Arabia,,,,,,,0.9549827449676588,,-0.9342460922408393,,-0.8910697751984569,-0.6991626636683201,,0.8685598371299407,,,-0.8713627398165503,-0.1824646275387762,-0.9272485393943749,,,0.9163448202908772,0.4880353540812005,,0.870310960215747,,,,,,0.9621888461775384
Malaysia,,,,0.62055524713472,,-0.8369209026821767,0.912160868324596,,-0.8793674203660369,,-0.8374498522982426,0.6648262880774402,-0.09878695873421829,0.9634035906812177,,,-0.7252854515009141,-0.9604379247692946,-0.9277686354999048,,,0.5751036964532515,0.8241288453128304,,-0.7425331174736409,,,-0.23196798174462788,-0.7160121352133645,0.8543453107861646,0.9516346467415252
India,,,,0.9072947948201605,,,0.9882506658168685,,0.48231076352503466,,-0.9486445692503912,-0.8350377917360595,-0.9055711152642854,0.9386508557464408,,,-0.94517636261507,-0.9693255719419677,-0.9793019574219051,,,0.37244909082531613,-0.7924665077223321,,0.956177099041507,,,,,,0.9409435435711218
Uganda,,,,-0.05784630889035808,,,,,-0.8348085118949339,,-0.9437621726979293,-0.9410787720991388,,0.9555470170136441,,,-0.9341890692027275,0.5534199624754461,-0.9463139638427809,,,-0.5860897219494378,0.20105474926757105,,-0.218537768272585,,,,,,0.9484398725605362
United Kingdom of Great Britain and Northern Ireland,,,,0.20842608734604784,0.8049068753470976,-0.907652681397595,0.6265205286925628,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,0.822301556322651,,-0.47770987219528654,,,,,,,,,,,,,-0.22072072197498097,-0.17350547485804627,,0.939671527627314,,,,,,0.8537112274513582
Austria,,,,,0.9008755235975241,-0.8698475947531689,0.6151263017278044,,-0.8636379566252892,-0.531194385467705,-0.681236409118636,-0.6289542936347348,-0.536463204775452,0.9382267731950896,,,-0.8639690264491462,0.03705083322640181,0.8978601491529846,,,-0.41115447487948176,-0.4364495136028305,,-0.876897357151802,,,-0.2983460511515512,-0.8005010077800244,0.9446282636173116,0.9020057377096918
Belgium,,,,,0.7181531532999329,-0.8393617581928938,0.8767427159603511,,-0.6856983741495439,-0.7304228369847753,-0.4448249020785471,-0.6915248415673915,0.16439464240533555,0.95140636497547,,,-0.8355173293121011,0.6940969878630592,-0.9224543957039246,,,-0.4730371995835905,0.6855531137663797,,-0.8982393408116887,,,,-0.7775270517792794,0.9248994063983367,0.9289479989011215
Haiti,,,,,,,,,-0.9589417516343954,,-0.9535982944190079,-0.9569338383608067,,0.9698934813034757,,,-0.8166014847503803,-0.9486904733576437,-0.962728739917994,,,0.0614855842545025,0.6764721015263057,,0.7873911484342584,,,,,,0.9660559647505869
Namibia,,,,,,,0.783526378332312,,0.02495341998067244,,-0.6718885263678851,-0.3122139712322135,,0.43924840193228415,,,-0.9337604708161699,-0.42935747860558626,-0.9424770515963616,,,0.7102792878679741,-0.11695634188015706,,0.42775575661634846,,,,,,0.9237539796370486
Benin,,,,-0.1836413174401289,,,,,-0.49670409158316897,,-0.9447472740440871,-0.9391939249217682,,0.9727545315453319,,,-0.9179932235979341,-0.7918821721779754,-0.9721396383830126,,,0.6278436054881188,-0.737512812294361,,0.6091330615358186,,,,,,0.9703953937463106
"China, Macao SAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,-0.5963713606337873,0.3234906300037585,,,,,,,,,,,,,0.4054341017563028
Saint Lucia,,,,,,,-0.37799569570830577,,,,,,,,,,,,,,,,,,-0.7048838833871304,,,,,,0.9639242972111591
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,-0.8886761840354166,,,,,,0.7958528048400189
Mexico,,,,,,-0.9214313639591571,0.9527650032425404,,0.6652526885531718,-0.9336003215207577,-0.9528979448370137,0.5474054140404119,0.3791944061742223,0.829566694391041,,,-0.9503400434503055,-0.8302886921443907,-0.9467311902197358,,,0.6622986408165106,0.8068716315415465,,0.6563506027883961,,,0.051018531244393005,-0.8943725464694631,0.9506190954275472,0.9456904792333986
Palau,,,,,,,,,,,-0.793036765786152,0.663207336400605,,,,,-0.9751035074444361,-0.5584704499533496,-0.8940008717784901,,,,,,,,,,,,0.29456968267617567
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,-0.6935137219481061,,-0.95025095626545,-0.8807154380180436,,0.9093901505656186,,,-0.8155522316055752,-0.00498045227285902,-0.3659369194444416,,,0.6903439793155534,0.6998689518851093,,0.8267814482403957,,,,,,0.9403670064842944
Azerbaijan,,,,,,0.24679144035352338,0.9895947057184644,,-0.1832206793458383,,-0.1449939630052906,-0.45035898480152814,-0.5710169100417143,0.8697120237755899,,,-0.8509080280647006,0.27050584563900226,-0.6845490170519353,,,-0.4623526691286956,-0.8084388027468092,,0.8541914745765042,,,-0.7248079755113059,,,0.8142022161531837
Solomon Islands,,,,,,,,,,,-0.8371720489106013,-0.8980851730794104,,0.9371659854634445,,,-0.9608194046731899,-0.3160883859322247,-0.9781940764818555,,,0.09268221067490502,0.9158493171554003,,0.7608328487526407,,,,,,0.9680278009761121
Fiji,,,,,,,0.8947159401711322,,-0.5868911904224655,,-0.8554087181771669,0.9402387875982607,,0.9342452307549833,,,0.16774191472924743,-0.38962274902624017,-0.9362533427516747,,,-0.43063788355731375,-0.5832383510592947,,-0.8193731886936797,,,,,,0.8919102374748262
Kiribati,,,,,,,,,,,-0.8029055220574409,-0.8934759382943139,,0.9487796752526961,,,-0.8623327130030526,-0.13439029822546536,-0.9289628199891381,,,,,,,,,,,,0.9663568868828272
Armenia,,,,,,,0.9619302524609501,,0.20159862291092578,,-0.28149206506165797,0.971010905723261,-0.5601265794559513,0.8770787853020021,,,-0.9051187706044855,0.7253047280131804,0.8307547379833802,,,0.8305587076678165,-0.14417177593971992,,-0.5938985382596783,,,,,,-0.7381473401784107
Oman,,,,,,,,,-0.934107774374779,,-0.7639173126169236,-0.8341805674997459,,0.9035276763735491,,,-0.7596891440126757,0.6417017929500903,-0.8736424177181752,,,0.8207548034017716,0.8596185136981146,,0.9614504015155303,,,,,,0.8876767218990674
Argentina,,,,0.22331224186349527,,-0.49605947814293777,0.9339674117642055,,-0.27687349644031956,,-0.6619429689894677,-0.6977464083586097,,0.7282170482743143,,,-0.6908682811984963,-0.32525254867792275,-0.7182896520779176,,-0.7856993850880157,0.3925420233165521,-0.6556551949759978,,-0.18068495971160953,,,-0.666763005659782,,,0.7379316218184823
Colombia,,,,,,0.5903049865869249,0.7301908595335114,,0.7792007747527261,,-0.8969852495342657,-0.006698925378892214,-0.8960915024058826,0.8809434975937713,,,-0.8797646060475228,-0.8262387221863599,-0.8941612740378728,,-0.48279709494914175,0.8708192553449093,0.7096175351044401,,0.7435619614678053,,,0.7939008106832125,,,0.8808253184627445
"China, Hong Kong SAR",,,,,,,0.7694505868686511,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,0.4151709896453931,,-0.9525688705677672,-0.9179772709821089,,0.9348854698305799,,,-0.9177723929536782,-0.7271886920093575,-0.9190301718767485,,,0.9417653636194377,0.9542050288793148,,0.8785817225234137,,,,,,0.8794628783666623
Guatemala,,,,,,,,,-0.833159449833532,,-0.958837785097456,-0.8555839601667523,-0.18925951577683003,0.9300658157401598,,,-0.9220544561979582,-0.9581703799777463,-0.9661481483521573,,,0.7122515687158718,0.5786797836571252,,-0.7273524106021909,,,,,,0.9811733833518437
Spain,,,,,0.13849480210193424,-0.8858234693513122,0.9299735944156273,,-0.8697061005969077,-0.8793718183296212,-0.014990774600843361,-0.3371880757683001,-0.7295378070549625,0.8802061424907012,,,-0.8390956178674034,0.13150745690511922,-0.8397051581127372,,,0.02227465271011972,-0.44121720660584945,,-0.7586372066327308,,,-0.07552672977970502,-0.1197815698977536,0.9354816143792688,0.9603797610659814
Türkiye,,,,-0.4010502398528947,,,0.9439164820040548,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,-0.9475105919376615,-0.009711286069877832,,0.8373664059783179,,-0.9630407735033697,0.8721864657154541,0.02932240083882118,0.9573425404808525,,,-0.7816647120117164,-0.9168860633903009,0.9631819131125502,,,-0.2921560852283226,0.7414489435115034,,-0.9393028515859887,,,0.3789457397694142,,,0.8859026035456624
