,Entity,Code,Year,Deaths,LifeExpectancy,GenderInequality,GDP ,Fertility,tertiary_education
323,Liberia,LBR,2010,13873,59.4,0.657,836606400.0,5.0583,1.9
324,Libya,LBY,2005,2816,71.6,0.325,26033686528.0,2.7648,8.27
325,Libya,LBY,2010,2211,72.4,0.28,48391806976.0,2.6027,11.89
326,Lithuania,LTU,1995,690,69.3,0.318,4987463168.0,1.5483,7.75
327,Lithuania,LTU,2000,375,72.1,0.263,7626622464.0,1.386,8.58
328,Lithuania,LTU,2005,276,71.7,0.191,14369014784.0,1.2942,13.51
329,Lithuania,LTU,2010,190,73.4,0.149,24031414272.0,1.5031,15.6
330,Luxembourg,LUX,1990,41,75.6,0.213,7524668928.0,1.5977,7.03
331,Luxembourg,LUX,1995,34,76.7,0.179,13816084480.0,1.7131,8.3
332,Luxembourg,LUX,2000,25,77.8,0.17,14127627264.0,1.7565,9.35
333,Luxembourg,LUX,2005,18,79.4,0.133,20337475584.0,1.631,13.29
334,Luxembourg,LUX,2010,16,80.6,0.109,33880893440.0,1.6199,18.54
335,Malawi,MWI,1990,101248,43.3,0.718,1059214336.0,6.8091,0.23
336,Malawi,MWI,1995,91529,43.6,0.708,885521920.0,6.416,0.25
337,Malawi,MWI,2000,81317,44.5,0.681,1152337408.0,6.0357,0.21
338,Malawi,MWI,2005,57490,52.0,0.651,2010733824.0,5.9099,0.18
339,Malawi,MWI,2010,48186,56.4,0.597,4504142848.0,5.2738,0.15
340,Malaysia,MYS,1990,8283,71.3,0.372,24793403392.0,3.3744,2.32
341,Malaysia,MYS,1995,7129,72.4,0.347,56209481728.0,3.3218,2.89
342,Malaysia,MYS,2000,5250,72.8,0.289,61988540416.0,2.9144,3.18
343,Malaysia,MYS,2005,3868,74.1,0.284,78943461376.0,2.328,4.45
344,Malaysia,MYS,2010,3877,74.4,0.28,165041602560.0,2.1436,5.81
345,Maldives,MDV,1990,782,63.6,0.713,121133184.0,6.0889,0.26
346,Maldives,MDV,1995,495,67.5,0.62,252826544.0,4.3201,0.25
347,Maldives,MDV,2000,243,70.9,0.499,412643776.0,2.7097,0.16
348,Maldives,MDV,2005,131,74.8,0.386,615891328.0,2.235,0.26
349,Maldives,MDV,2010,99,77.7,0.406,1503656832.0,2.3176,0.25
350,Mali,MLI,1990,91598,46.6,0.674,1510391168.0,7.2532,0.27
351,Mali,MLI,1995,93984,47.8,0.671,1714975104.0,6.989,0.33
352,Mali,MLI,2000,94833,50.5,0.67,1952475904.0,6.874,0.5
353,Mali,MLI,2005,91774,54.0,0.665,3434755072.0,6.7156,0.68
354,Mali,MLI,2010,87031,56.4,0.666,6911062528.0,6.5788,0.78
355,Malta,MLT,1990,61,76.0,0.318,1434597760.0,2.0404,5.39
356,Malta,MLT,1995,48,77.1,0.303,2281004032.0,1.786,6.5
357,Malta,MLT,2000,35,77.6,0.299,2615580160.0,1.6736,7.4
358,Malta,MLT,2005,27,79.6,0.285,3294844416.0,1.377,7.58
359,Malta,MLT,2010,26,81.8,0.264,5283151872.0,1.3729,10.52
360,Mauritania,MRT,1990,9289,59.8,0.808,574215680.0,6.056,0.64
361,Mauritania,MRT,1995,9835,60.3,0.799,896828288.0,5.8509,0.93
362,Mauritania,MRT,2000,10880,61.0,0.744,855016128.0,5.4593,1.17
363,Mauritania,MRT,2005,11731,61.7,0.725,1201440256.0,5.1902,1.11
364,Mauritania,MRT,2010,11733,63.1,0.657,2807327488.0,5.0427,0.97
365,Mauritius,MUS,1990,505,69.4,0.515,1494382336.0,2.2945,0.63
366,Mauritius,MUS,1995,485,70.5,0.485,2560235520.0,2.1345,0.83
367,Mauritius,MUS,2000,381,71.6,0.486,3028757504.0,1.9754,0.89
368,Mauritius,MUS,2005,286,72.7,0.394,3456075008.0,1.8826,1.6
369,Mauritius,MUS,2010,224,74.0,0.386,6289437184.0,1.5539,1.88
370,Mexico,MEX,1990,109134,70.0,0.505,147952107520.0,3.4496,3.87
371,Mexico,MEX,1995,85661,71.6,0.479,217850478592.0,3.0376,5.12
372,Mexico,MEX,2000,66873,73.6,0.46,451844112384.0,2.7162,6.84
373,Mexico,MEX,2005,53034,74.4,0.426,476488826880.0,2.4947,8.41
374,Mexico,MEX,2010,43803,74.2,0.408,680268398592.0,2.3402,9.81
375,Moldova,MDA,1990,2802,68.1,0.46,2023413888.0,2.3876,5.94
376,Moldova,MDA,1995,2482,65.1,0.486,1110804736.0,1.8307,6.17
377,Moldova,MDA,2000,1573,66.4,0.396,851556864.0,1.4988,6.68
378,Moldova,MDA,2005,860,68.2,0.287,1643580160.0,1.5308,6.57
379,Moldova,MDA,2010,771,69.4,0.284,3761148160.0,1.6978,8.76
380,Mongolia,MNG,1990,7562,58.8,0.491,1442175616.0,4.2324,8.08
381,Mongolia,MNG,1995,4997,60.6,0.49,920190464.0,2.7893,9.2
382,Mongolia,MNG,2000,2998,62.9,0.435,751409856.0,2.255,8.16
383,Mongolia,MNG,2005,2017,64.9,0.392,1387904256.0,2.0282,15.61
384,Mongolia,MNG,2010,1691,67.2,0.415,4652881920.0,2.5126,19.66
385,Morocco,MAR,1990,58561,62.4,0.741,16996660224.0,4.0182,2.98
386,Morocco,MAR,1995,44238,64.7,0.723,24732241920.0,3.33,3.69
387,Morocco,MAR,2000,33473,66.8,0.7,25681963008.0,2.7957,4.07
388,Morocco,MAR,2005,26615,68.7,0.558,34288537600.0,2.5682,4.67
389,Morocco,MAR,2010,21112,70.8,0.526,60327919616.0,2.5858,5.35
390,Mozambique,MOZ,1990,141665,44.5,0.626,1414762240.0,6.2209,0.13
391,Mozambique,MOZ,1995,143218,46.0,0.62,1597945216.0,5.8948,0.14
392,Mozambique,MOZ,2000,128492,49.5,0.6,3315539712.0,5.8116,0.2
393,Mozambique,MOZ,2005,112386,51.6,0.579,4248099840.0,5.6087,0.23
394,Mozambique,MOZ,2010,97695,54.2,0.56,6571609600.0,5.6301,0.26
395,Namibia,NAM,1990,3792,62.5,0.554,1579349376.0,5.3212,1.29
396,Namibia,NAM,1995,3969,58.6,0.545,2498222336.0,4.4264,1.24
397,Namibia,NAM,2000,4207,52.0,0.542,2583355648.0,3.975,1.25
398,Namibia,NAM,2005,3928,51.8,0.513,3993719040.0,3.5601,0.94
399,Namibia,NAM,2010,3072,56.0,0.499,7301598208.0,3.6305,0.76
400,Nepal,NPL,1990,98279,54.8,0.726,2042957824.0,5.2085,2.12
401,Nepal,NPL,1995,80008,59.3,0.709,2788838912.0,4.7847,2.1
402,Nepal,NPL,2000,59766,62.6,0.663,3631321344.0,3.9439,1.81
403,Nepal,NPL,2005,40538,65.5,0.643,4471626240.0,3.1423,1.76
404,Nepal,NPL,2010,28204,66.8,0.518,10356583424.0,2.5115,1.75
405,Netherlands,NLD,1990,1582,77.0,0.118,176988323840.0,1.6132,9.69
406,Netherlands,NLD,1995,1341,77.5,0.096,282951122944.0,1.5355,11.38
407,Netherlands,NLD,2000,1218,78.1,0.1,272837115904.0,1.7187,11.81
408,Netherlands,NLD,2005,1038,79.5,0.071,373192228864.0,1.7095,13.63
409,Netherlands,NLD,2010,810,80.8,0.052,541326213120.0,1.7919,15.63
410,New Zealand,NZL,1990,631,75.4,0.241,25622147072.0,2.1737,16.71
411,New Zealand,NZL,1995,505,76.8,0.223,40503238656.0,1.9796,17.39
412,New Zealand,NZL,2000,413,78.7,0.188,34780356608.0,1.9764,17.86
413,New Zealand,NZL,2005,391,80.1,0.172,63095451648.0,1.9621,18.57
414,New Zealand,NZL,2010,387,81.1,0.173,94866423808.0,2.1642,15.5
415,Nicaragua,NIC,1990,9975,63.1,0.635,568502080.0,4.5963,8.16
416,Nicaragua,NIC,1995,7431,65.6,0.619,2623683328.0,3.7752,8.37
417,Nicaragua,NIC,2000,5298,67.2,0.592,3375591936.0,3.111,9.28
418,Nicaragua,NIC,2005,4046,67.9,0.525,3476721920.0,2.7671,9.32
419,Nicaragua,NIC,2010,3267,72.0,0.497,5657194496.0,2.6008,10.33
420,Niger,NER,1990,137657,41.9,0.796,1397058048.0,7.8064,0.29
421,Niger,NER,1995,134292,45.8,0.797,1191804928.0,7.7757,0.36
422,Niger,NER,2000,127116,49.3,0.792,1188601472.0,7.7317,0.42
423,Niger,NER,2005,112458,53.6,0.697,1872817280.0,7.6146,0.47
424,Niger,NER,2010,94332,58.4,0.694,3700951296.0,7.4854,0.51
425,Norway,NOR,1990,496,76.6,0.132,67463917568.0,1.9298,7.85
426,Norway,NOR,1995,343,77.8,0.112,96334897152.0,1.8712,8.81
427,Norway,NOR,2000,283,78.7,0.1,113227816960.0,1.8545,10.0
428,Norway,NOR,2005,234,80.2,0.07,169796517888.0,1.8408,11.14
429,Norway,NOR,2010,196,81.0,0.072,277332197376.0,1.9389,12.16
430,Pakistan,PAK,1990,596133,60.1,0.811,22532950016.0,6.3637,1.92
431,Pakistan,PAK,1995,577784,59.9,0.786,38423105536.0,5.894,4.11
432,Pakistan,PAK,2000,521740,62.1,0.764,48877420544.0,5.2567,6.09
433,Pakistan,PAK,2005,481834,62.5,0.633,60225937408.0,4.6368,4.02
434,Pakistan,PAK,2010,460081,64.4,0.582,114813992960.0,4.2966,4.43
435,Panama,PAN,1990,2015,71.1,0.54,3168266752.0,3.0962,5.91
436,Panama,PAN,1995,1901,72.4,0.523,5304503296.0,2.8517,8.82
437,Panama,PAN,2000,1832,74.0,0.513,8132078592.0,2.7439,12.53
438,Panama,PAN,2005,1668,75.8,0.476,9005819904.0,2.6648,13.51
439,Panama,PAN,2010,1512,76.4,0.508,18714605568.0,2.6035,14.37
440,Papua New Guinea,PNG,1990,13305,59.7,0.671,1813278080.0,5.1796,0.36
441,Papua New Guinea,PNG,1995,13453,61.0,0.659,2937756672.0,4.7802,0.6
442,Papua New Guinea,PNG,2000,13741,61.7,0.654,2327368192.0,4.5247,0.63
443,Papua New Guinea,PNG,2005,13369,61.8,0.672,2676274688.0,4.2203,0.6
444,Papua New Guinea,PNG,2010,12495,63.0,0.655,6288057856.0,3.8827,0.54
445,Paraguay,PRY,1990,6338,67.9,0.605,3207406592.0,4.5474,3.36
446,Paraguay,PRY,1995,5551,69.0,0.588,5742383104.0,4.108,3.44
447,Paraguay,PRY,2000,4865,69.8,0.553,5416985600.0,3.5533,3.74
448,Paraguay,PRY,2005,4190,70.5,0.523,4804041728.0,3.0396,1.51
449,Paraguay,PRY,2010,3667,71.9,0.492,12963337216.0,2.7295,3.88
450,Peru,PER,1990,53748,65.1,0.576,14479313920.0,3.9119,13.79
451,Peru,PER,1995,37651,67.6,0.544,32944402432.0,3.315,15.53
452,Peru,PER,2000,23581,70.4,0.518,33694830592.0,2.8451,20.54
453,Peru,PER,2005,16288,73.0,0.462,41221189632.0,2.6862,24.37
454,Peru,PER,2010,11939,73.7,0.423,96120201216.0,2.5727,12.27
455,Philippines,PHL,1990,113054,65.9,0.52,24955271168.0,4.352,6.73
456,Philippines,PHL,1995,92897,68.2,0.503,46967463936.0,4.042,6.71
457,Philippines,PHL,2000,85556,69.4,0.497,53552787456.0,3.7139,6.55
458,Philippines,PHL,2005,80246,70.2,0.478,56689164288.0,3.4897,5.94
459,Philippines,PHL,2010,74382,70.8,0.465,129170956288.0,3.2643,5.48
460,Poland,POL,1990,10056,70.7,0.272,36444520448.0,2.0501,3.41
461,Poland,POL,1995,7005,71.9,0.227,88340471808.0,1.6294,5.47
462,Poland,POL,2000,3621,73.7,0.194,113604517888.0,1.3646,6.16
463,Poland,POL,2005,2831,75.1,0.157,167424966656.0,1.2436,9.78
464,Poland,POL,2010,2352,76.3,0.171,310155706368.0,1.4075,11.37
465,Portugal,PRT,1990,1703,74.3,0.256,44334198784.0,1.5558,2.88
466,Portugal,PRT,1995,1079,75.6,0.224,74857504768.0,1.4114,3.77
467,Portugal,PRT,2000,808,76.8,0.195,78226792448.0,1.5425,4.28
468,Portugal,PRT,2005,510,78.3,0.165,108517089280.0,1.4134,3.04
469,Portugal,PRT,2010,376,80.0,0.127,154234175488.0,1.3852,3.26
470,Qatar,QAT,2010,177,78.4,0.541,80976527360.0,2.0874,10.05
471,Romania,ROU,1990,10581,69.7,0.515,21569175552.0,1.8344,3.33
472,Romania,ROU,1995,6830,69.6,0.474,23865253888.0,1.3433,4.23
473,Romania,ROU,2000,4717,71.3,0.434,24744284160.0,1.3035,4.76
474,Romania,ROU,2005,3965,70.6,0.362,54833459200.0,1.3942,6.31
475,Romania,ROU,2010,2695,74.0,0.358,108724830208.0,1.5813,6.61
476,Russia,RUS,1990,45628,68.5,0.447,438376955904.0,1.9023,12.99
477,Russia,RUS,1995,32432,64.1,0.455,250635370496.0,1.3549,13.3
478,Russia,RUS,2000,25422,65.3,0.403,171649400832.0,1.2212,19.31
479,Russia,RUS,2005,20336,66.1,0.364,420207886336.0,1.3367,21.77
480,Russia,RUS,2010,17858,69.4,0.307,986894565376.0,1.5982,24.74
481,Rwanda,RWA,1990,48136,48.4,0.611,1436205952.0,6.8727,0.12
482,Rwanda,RWA,1995,62943,40.0,0.597,819671872.0,6.324,0.14
483,Rwanda,RWA,2000,53100,47.1,0.563,1146674432.0,5.9242,0.22
484,Rwanda,RWA,2005,33442,57.3,0.491,1419800832.0,5.4359,0.33
485,Rwanda,RWA,2010,21726,62.5,0.45,3687981056.0,4.5323,0.53
486,Saudi Arabia,SAU,2005,9406,74.6,0.671,180652130304.0,3.2421,6.5
487,Saudi Arabia,SAU,2010,7409,75.8,0.651,340941307904.0,2.8535,6.67
488,Senegal,SEN,1990,42832,56.9,0.678,3219482624.0,6.3963,0.74
489,Senegal,SEN,1995,47125,56.8,0.671,3091488000.0,5.8189,0.72
490,Senegal,SEN,2000,48075,56.9,0.659,3092895744.0,5.4978,0.53
491,Senegal,SEN,2005,37664,60.9,0.633,4788840960.0,5.1855,0.29
492,Senegal,SEN,2010,30762,64.6,0.586,8369595904.0,5.0642,1.25
493,Sierra Leone,SLE,2000,45033,45.1,0.691,420268832.0,6.3545,0.55
494,Sierra Leone,SLE,2005,43630,48.2,0.664,895316672.0,5.8072,0.67
495,Sierra Leone,SLE,2010,38846,53.7,0.658,1693415552.0,5.3269,1.22
496,Singapore,SGP,1990,408,74.9,0.261,20360425472.0,1.7949,2.6
497,Singapore,SGP,1995,284,76.0,0.24,55693086720.0,1.6462,8.85
498,Singapore,SGP,2000,200,79.1,0.264,63339614208.0,1.5575,13.79
499,Singapore,SGP,2005,138,80.4,0.151,70079471616.0,1.2602,13.7
500,Singapore,SGP,2010,138,81.7,0.085,153007210496.0,1.1606,29.71
501,Slovakia,SVK,1990,1200,70.8,0.277,7149275136.0,2.0818,3.95
502,Slovakia,SVK,1995,815,72.3,0.242,16306205696.0,1.5271,5.01
503,Slovakia,SVK,2000,538,73.1,0.215,19242924032.0,1.2938,4.69
504,Slovakia,SVK,2005,436,74.2,0.192,34371039232.0,1.2684,7.27
505,Slovakia,SVK,2010,393,75.5,0.203,57763598336.0,1.4319,8.76
506,Slovenia,SVN,1995,142,74.6,0.236,13480050688.0,1.2932,7.22
507,Slovenia,SVN,2000,96,76.2,0.189,13444789248.0,1.2513,7.99
508,Slovenia,SVN,2005,77,77.7,0.134,19990759424.0,1.2643,10.68
509,Slovenia,SVN,2010,68,79.7,0.128,31075221504.0,1.5736,13.25
510,South Africa,ZAF,1990,68241,63.4,0.511,63084179456.0,3.7243,0.42
511,South Africa,ZAF,1995,64998,62.3,0.476,98510176256.0,3.1715,0.53
512,South Africa,ZAF,2000,73067,58.5,0.459,90125729792.0,2.4135,0.53
513,South Africa,ZAF,2005,84721,54.0,0.454,141774503936.0,2.5125,0.36
514,South Africa,ZAF,2010,60679,58.9,0.44,242918277120.0,2.4448,0.32
515,South Korea,KOR,1990,10302,71.9,0.298,160368656384.0,1.6024,9.4
516,South Korea,KOR,1995,7220,73.9,0.249,354429272064.0,1.6284,12.9
517,South Korea,KOR,2000,4461,76.5,0.17,371200688128.0,1.415,19.08
518,South Korea,KOR,2005,2694,78.5,0.1,493973635072.0,1.0956,22.09
519,South Korea,KOR,2010,1881,80.8,0.113,708337008640.0,1.2167,30.04
520,Spain,ESP,1990,3759,77.0,0.188,301356711936.0,1.3588,4.23
521,Spain,ESP,1995,2633,78.2,0.144,388400250880.0,1.1564,8.01
522,Spain,ESP,2000,2118,79.4,0.129,393520054272.0,1.2159,10.69
523,Spain,ESP,2005,2183,80.3,0.124,636499722240.0,1.3307,13.53
524,Spain,ESP,2010,1907,82.0,0.105,926548623360.0,1.3752,14.96
525,Sri Lanka,LKA,1990,8200,71.9,0.469,4523748352.0,2.5166,3.15
526,Sri Lanka,LKA,1995,6894,72.3,0.473,8234691584.0,2.2949,5.25
527,Sri Lanka,LKA,2000,5699,70.4,0.462,10793541632.0,2.1906,7.65
528,Sri Lanka,LKA,2005,5107,72.1,0.435,13423388672.0,2.2834,8.6
529,Sri Lanka,LKA,2010,4115,73.2,0.416,36711710720.0,2.196,8.51
530,Sudan,SDN,1990,106477,49.7,0.746,6988264960.0,6.1677,0.38
531,Sudan,SDN,1995,111883,52.0,0.723,8763466752.0,5.7876,0.54
532,Sudan,SDN,2000,109073,58.3,0.709,8101307392.0,5.38,0.87
533,Sudan,SDN,2005,99964,57.3,0.647,14588442624.0,5.0385,1.24
534,Sudan,SDN,2010,91142,63.0,0.609,42477015040.0,5.0172,1.87
535,Sweden,SWE,1990,797,77.6,0.101,145386553344.0,2.1219,10.61
536,Sweden,SWE,1995,525,78.8,0.075,167321288704.0,1.732,11.6
537,Sweden,SWE,2000,379,79.7,0.06,171711201280.0,1.5434,13.51
538,Sweden,SWE,2005,361,80.6,0.047,213972484096.0,1.7738,14.32
539,Sweden,SWE,2010,340,81.5,0.052,316068855808.0,1.9757,14.93
540,Switzerland,CHE,1990,649,77.4,0.124,144973185024.0,1.5771,8.77
541,Switzerland,CHE,1995,522,78.6,0.109,216561745920.0,1.4793,9.83
542,Switzerland,CHE,2000,434,79.8,0.103,179548340224.0,1.4878,10.02
543,Switzerland,CHE,2005,373,81.2,0.079,224143785984.0,1.4184,12.8
544,Switzerland,CHE,2010,358,82.3,0.057,376148033536.0,1.5187,17.88
545,Syria,SYR,1990,16264,69.8,0.551,6931934208.0,5.3843,2.36
546,Syria,SYR,1995,13549,70.4,0.505,7221728256.0,4.5737,2.27
547,Syria,SYR,2000,11618,70.8,0.461,12773083136.0,4.0009,1.9
548,Syria,SYR,2005,10997,72.8,0.487,15872372736.0,3.8139,2.33
549,Tajikistan,TJK,1990,21304,61.9,0.537,1480814720.0,5.3422,4.78
550,Tajikistan,TJK,1995,22530,59.3,0.583,780376768.0,4.6578,4.85
551,Tajikistan,TJK,2000,15881,63.3,0.417,568764352.0,4.0057,4.1
552,Tajikistan,TJK,2005,10975,66.5,0.341,1271784704.0,3.4376,3.7
553,Tajikistan,TJK,2010,9874,67.7,0.343,3651527424.0,3.4569,3.74
554,Tanzania,TZA,1990,175938,51.5,0.659,2398425856.0,6.1954,0.34
555,Tanzania,TZA,1995,185997,50.8,0.651,3330065664.0,5.8651,0.4
556,Tanzania,TZA,2000,173362,52.4,0.64,6732101632.0,5.6862,0.37
557,Tanzania,TZA,2005,143812,56.3,0.596,9311453184.0,5.6097,0.34
558,Tanzania,TZA,2010,124447,60.1,0.581,20326539264.0,5.2929,0.36
559,Thailand,THA,1990,40417,70.4,0.437,48063320064.0,2.0899,4.86
560,Thailand,THA,1995,28990,70.9,0.428,107266400256.0,1.898,3.92
561,Thailand,THA,2000,20313,72.3,0.406,83536592896.0,1.6124,4.62
562,Thailand,THA,2005,14588,73.8,0.394,104124792832.0,1.5851,9.02
563,Thailand,THA,2010,10826,76.1,0.378,220638576640.0,1.5759,10.47
564,Togo,TGO,1990,22334,54.4,0.739,917092992.0,6.1328,0.83
565,Togo,TGO,1995,22291,54.0,0.731,829714048.0,5.6457,0.9
566,Togo,TGO,2000,22312,54.7,0.666,855410112.0,5.2691,1.05
567,Togo,TGO,2005,21933,56.0,0.64,1163330560.0,5.0694,1.29
568,Togo,TGO,2010,20713,57.3,0.621,2053463808.0,5.0074,1.51
569,Tonga,TON,1990,66,67.3,0.705,63956532.0,4.6435,2.47
570,Tonga,TON,1995,54,68.2,0.673,128347560.0,4.447,3.28
571,Tonga,TON,2000,47,69.0,0.667,124666960.0,4.1078,4.55
572,Tonga,TON,2005,42,69.8,0.453,142306304.0,4.179,5.69
573,Tonga,TON,2010,37,70.3,0.643,239337216.0,3.8886,2.91
574,Trinidad and Tobago,TTO,1990,791,68.3,0.456,2854181120.0,2.3824,1.9
575,Trinidad and Tobago,TTO,1995,593,69.2,0.422,3376952320.0,1.931,2.65
576,Trinidad and Tobago,TTO,2000,522,69.1,0.4,5389454848.0,1.7686,3.28
577,Trinidad and Tobago,TTO,2005,502,71.3,0.367,8790222848.0,1.68,4.72
578,Trinidad and Tobago,TTO,2010,454,72.7,0.367,13615101952.0,1.7008,6.48
579,Tunisia,TUN,1990,11999,70.1,0.558,6921765376.0,3.471,2.05
580,Tunisia,TUN,1995,8143,72.0,0.502,11425589248.0,2.6732,2.48
581,Tunisia,TUN,2000,5075,73.7,0.394,14192296960.0,2.0492,3.77
582,Tunisia,TUN,2005,3649,74.8,0.317,17750087680.0,1.981,5.71
583,Tunisia,TUN,2010,3452,75.4,0.29,28508835840.0,2.1049,7.38
584,Turkey,TUR,1990,103782,67.7,0.611,84857421824.0,3.1258,5.78
585,Turkey,TUR,1995,73868,69.6,0.604,107397816320.0,2.7915,5.31
586,Turkey,TUR,2000,51869,71.9,0.553,176182738944.0,2.505,4.91
587,Turkey,TUR,2005,34691,73.5,0.531,265637937152.0,2.2239,4.21
588,Turkey,TUR,2010,23566,75.1,0.422,473196625920.0,2.1369,5.28
589,Uganda,UGA,1990,148451,46.4,0.661,2424138752.0,7.0372,0.19
590,Uganda,UGA,1995,158173,46.6,0.654,3647278336.0,6.9166,1.26
591,Uganda,UGA,2000,160326,48.3,0.64,4093308672.0,6.8323,1.75
592,Uganda,UGA,2005,133396,53.0,0.587,4957591040.0,6.5716,1.56
593,Uganda,UGA,2010,107047,57.1,0.561,13061235712.0,6.0709,1.23
594,Ukraine,UKR,1990,12813,69.8,0.471,45874663424.0,1.8545,12.36
595,Ukraine,UKR,1995,10523,66.8,0.473,30552145920.0,1.4022,16.55
596,Ukraine,UKR,2000,7546,67.9,0.357,20661837824.0,1.1091,20.43
597,Ukraine,UKR,2005,6191,68.2,0.369,47377936384.0,1.2197,22.33
598,Ukraine,UKR,2010,5738,70.6,0.325,88287707136.0,1.4355,24.55
599,United Arab Emirates,ARE,1990,775,71.9,0.659,28553885696.0,4.5367,6.42
600,United Arab Emirates,ARE,1995,634,72.7,0.627,41659658240.0,3.2743,8.66
601,United Arab Emirates,ARE,2000,576,74.4,0.605,68959805440.0,2.733,9.7
602,United Arab Emirates,ARE,2005,662,76.7,0.584,99338993664.0,2.2042,9.01
603,United Arab Emirates,ARE,2010,784,78.3,0.175,185125126144.0,1.7897,8.54
604,United Kingdom,GBR,1990,7224,75.7,0.255,615647870976.0,1.8287,9.0
605,United Kingdom,GBR,1995,5412,76.6,0.235,784203382784.0,1.7102,11.1
606,United Kingdom,GBR,2000,4612,77.9,0.21,1027616145408.0,1.6413,12.83
607,United Kingdom,GBR,2005,4295,79.1,0.202,1330413174784.0,1.759,13.77
608,United Kingdom,GBR,2010,4081,80.4,0.179,1555497484288.0,1.9168,15.31
609,United States,USA,1990,43940,75.4,0.294,3367566835712.0,2.0692,20.71
610,United States,USA,1995,37429,75.9,0.295,4856469258240.0,1.9716,20.4
611,United States,USA,2000,33312,76.8,0.275,6797529710592.0,2.0465,22.97
612,United States,USA,2005,32674,77.6,0.256,7201522974720.0,2.0575,22.39
613,United States,USA,2010,30050,78.8,0.248,9684626964480.0,1.9325,26.76
614,Uruguay,URY,1990,1292,73.2,0.433,5236892672.0,2.4327,4.22
615,Uruguay,URY,1995,1163,73.9,0.434,12228312064.0,2.4012,5.46
616,Uruguay,URY,2000,922,75.0,0.381,15084597248.0,2.1679,4.5
617,Uruguay,URY,2005,729,76.2,0.366,9549537280.0,2.0971,3.67
618,Uruguay,URY,2010,517,76.9,0.321,26071402496.0,2.011,3.5
619,Venezuela,VEN,1990,16481,71.5,0.563,26484809728.0,3.4483,2.43
620,Venezuela,VEN,1995,14822,72.1,0.553,47454597120.0,3.0821,2.52
621,Venezuela,VEN,2000,12325,72.5,0.519,77426491392.0,2.8217,2.7
622,Venezuela,VEN,2005,10787,72.8,0.489,80032129024.0,2.6288,2.97
623,Venezuela,VEN,2010,10085,72.9,0.493,254860034048.0,2.4715,2.96
624,Vietnam,VNM,1990,99288,69.2,0.41,3644735232.0,3.5957,1.02
625,Vietnam,VNM,1995,68910,71.4,0.384,13139843072.0,2.6635,1.56
626,Vietnam,VNM,2000,42745,72.5,0.328,22233774080.0,2.0716,2.21
627,Vietnam,VNM,2005,34774,73.3,0.3,31698173952.0,1.9624,2.99
628,Vietnam,VNM,2010,34308,73.5,0.315,75028594688.0,1.8949,3.27
629,Yemen,YEM,2000,64531,62.6,0.805,6368957440.0,6.3177,0.94
630,Yemen,YEM,2005,52425,65.5,0.799,9214540800.0,5.5769,1.21
631,Yemen,YEM,2010,45912,67.3,0.798,20002201600.0,4.8553,1.5
632,Zambia,ZMB,1990,63522,47.9,0.666,1851940864.0,6.5331,0.12
633,Zambia,ZMB,1995,68539,45.6,0.642,2412416512.0,6.2409,0.79
634,Zambia,ZMB,2000,69828,45.2,0.648,2379802880.0,5.9259,0.77
635,Zambia,ZMB,2005,53063,50.7,0.617,4582511616.0,5.7101,0.61
636,Zambia,ZMB,2010,43235,56.8,0.586,13115440128.0,5.3629,0.49
637,Zimbabwe,ZWE,1990,29244,59.4,0.605,4946843648.0,4.8733,1.83
638,Zimbabwe,ZWE,1995,35883,50.5,0.594,4506184704.0,4.1539,1.32
639,Zimbabwe,ZWE,2000,35389,44.7,0.625,4421600256.0,3.974,0.53
640,Zimbabwe,ZWE,2005,36797,44.8,0.595,3165356800.0,3.6651,0.44
641,Zimbabwe,ZWE,2010,38616,50.7,0.592,6097824768.0,4.0248,0.38
